DIA;MÊS;UF;EVENTO
23;01;AC;Dia do Evangélico
15;06;AC;Aniversário do Acre
05;09;AC;Dia da Amazônia
17;11;AC;Assinatura do Tratado de Petrópolis
24;06;AL;São João
29;06;AL;São Pedro
16;09;AL;Emancipação Política de Alagoas
20;11;AL;Consciência Negra
05;09;AM;Elevação do Amazonas à categoria de Província
20;11;AM;Consciência Negra
08;12;AM;Dia de Nossa Senhora da Conceição
19;03;AP;Dia de São José
25;07;AP;São Tiago
05;10;AP;Criação do Estado do Amapá
20;11;AP;Consciência Negra
02;07;BA;Independência da Bahia
19;03;CE;Dia de São José
25;03;CE;Data Magna do Ceará
21;04;DF;Fundação de Brasília
30;11;DF;Dia do Evangélico
28;10;ES;Dia do Servidor Público
28;10;GO;Dia do Servidor Público
28;07;MA;Adesão do Maranhão à Independência
08;12;MA;Nossa Senhora da Conceição
21;04;MG;Data Magna de Minas Gerais
11;10;MS;Criação do Estado do Mato Grosso do Sul
20;11;MT;Consciência Negra
15;08;PA;Adesão do Grão-Pará à Independência
05;08;PB;Fundação do Estado da Paraíba
24;06;PE;São João
13;03;PI;Dia da Batalha do Jenipapo
19;10;PI;Dia do Piauí
23;04;RJ;Dia de São Jorge
28;10;RJ;Dia do Funcionário Público
20;11;RJ;Zumbi dos Palmares
08;12;RJ;Dia de Nossa Senhora da Conceição
29;06;RN;Dia de São Pedro
03;10;RN;Mártires de Cunhaú e Uruaçuu
04;01;RO;Criação do Estado de Rondônia
18;06;RO;Dia do Evangélico
05;10;RR;Criação do Estado de Roraima
20;09;RS;Revolução Farroupilha
11;08;SC;Criação da Capitania
08;07;SE;Autonomia Política de Sergipe
09;07;SP; Revolução Constitucionalista de 1932
01;01;TO;Instalação de Tocantins
08;09;TO;Nossa Senhora da Natividade
05;10;TO;Criação de Tocantins
